date,timeframe,floor_level,prediction
3/6/20,8:00,0,158
3/6/20,9:00,0,199
3/6/20,10:00,0,247
3/6/20,11:00,0,247
3/6/20,12:00,0,232
3/6/20,13:00,0,184
3/6/20,14:00,0,171
3/6/20,15:00,0,168
3/6/20,16:00,0,167
3/6/20,17:00,0,164
3/6/20,18:00,0,164
3/7/20,8:00,0,164
3/7/20,9:00,0,163
3/7/20,10:00,0,70
3/7/20,11:00,0,41
3/7/20,12:00,0,30
3/7/20,13:00,0,31
3/7/20,14:00,0,32
3/7/20,15:00,0,33
3/7/20,16:00,0,34
3/7/20,17:00,0,30
3/7/20,18:00,0,33
3/8/20,8:00,0,34
3/8/20,9:00,0,33
3/8/20,10:00,0,36
3/8/20,11:00,0,33
3/8/20,12:00,0,35
3/8/20,13:00,0,33
3/8/20,14:00,0,34
3/8/20,15:00,0,33
3/8/20,16:00,0,34
3/8/20,17:00,0,34
3/8/20,18:00,0,36
3/9/20,8:00,0,32
3/9/20,9:00,0,34
3/9/20,10:00,0,38
3/9/20,11:00,0,19
3/9/20,12:00,0,0
3/9/20,13:00,0,237
3/9/20,14:00,0,391
3/9/20,15:00,0,467
3/9/20,16:00,0,255
3/9/20,17:00,0,660
3/9/20,18:00,0,240
3/10/20,8:00,0,454
3/10/20,9:00,0,454
3/10/20,10:00,0,454
3/10/20,11:00,0,301
3/10/20,12:00,0,202
3/10/20,13:00,0,73
3/10/20,14:00,0,111
3/10/20,15:00,0,322
3/10/20,16:00,0,556
3/10/20,17:00,0,539
3/10/20,18:00,0,468
3/6/20,8:00,1,192
3/6/20,9:00,1,275
3/6/20,10:00,1,312
3/6/20,11:00,1,289
3/6/20,12:00,1,272
3/6/20,13:00,1,277
3/6/20,14:00,1,286
3/6/20,15:00,1,280
3/6/20,16:00,1,246
3/6/20,17:00,1,190
3/6/20,18:00,1,119
3/7/20,8:00,1,169
3/7/20,9:00,1,230
3/7/20,10:00,1,267
3/7/20,11:00,1,275
3/7/20,12:00,1,263
